HSK Set;Number;Character;Pinyin;Meaning
1;1;爱;ài;love
1;2;爱好;ài hào;hobby
1;3;八;bā;eight
1;4;爸爸｜爸;bàba ｜ bà;dad
1;5;吧;ba;(interjection particle)
1;6;白（形）;bái ;white
1;7;白天;bái tiān;day
1;8;百;bǎi;hundred
1;9;班;bān;class
1;10;半;bàn;half
1;11;半年;bàn nián;half a year
1;12;半天;bàn tiān;half day
1;13;帮;bāng;help
1;14;帮忙;bāng máng;help
1;15;包;bāo;package
1;16;包子;bāo zi;bun
1;17;杯;bēi;cup
1;18;杯子;bēi zi;cup
1;19;北;běi;north
1;20;北边;běi biān;North side
1;21;北京;běi jīng;Beijing
1;22;本（量）;běn ;(measure word for books or volumes)
1;23;本子;běn zi;book
1;24;比;bǐ;particle used for comparison
1;25;别（副）;bié;Don’t
1;26;别的;bié de;other
1;27;别人;bié rén;other people
1;28;病;bìng;disease
1;29;病人;bìng rén;patient
1;30;不大;bú dà;not big
1;31;不对;bú duì;wrong
1;32;不客气;bú kè qì;You’re welcome
1;33;不用;bú yòng;No need to
1;34;不;bù;No
1;35;菜;cài;dish
1;36;茶;chá;tea
1;37;差;chà;"differ from; bad; short of "
1;38;常;cháng;often
1;39;常常;cháng cháng;often
1;40;唱;chàng;sing
1;41;唱歌;chàng gē;sing
1;42;车;chē;car
1;43;车票;chē piào;ticket
1;44;车上;chē shàng;in the car
1;45;车站;chē zhàn;station
1;46;吃;chī;eat
1;47;吃饭;chī fàn;have meal
1;48;出;chū;out
1;49;出来;chū lái;come
1;50;出去;chū qù;go out
1;51;穿;chuān;wear
1;52;床;chuáng;bed
1;53;次（量）;cì ;(measure word for times, frequency)
1;54;从;cóng;from
1;55;错;cuò;wrong
1;56;打（动）;dǎ ;hit, take
1;57;打车;dǎ chē;take a taxi
1;58;打电话;dǎ diàn huà;make a phonecall
1;59;打开;dǎ kāi;turn on
1;60;打球;dǎ qiú;play ball
1;61;大;dà;large, big
1;62;大学;dà xué;university
1;63;大学生;dà xué shēng;university student
1;64;到;dào;reach
1;65;得到;dé dào;get
1;66;地;de;auxiliary word
1;67;的;de;(aux.)
1;68;等（动）;děng;wait
1;69;地;dì;ground
1;70;地点;dìdiǎn;location
1;71;地方;dìfang;local
1;72;地上;dì shàng;on the ground
1;73;地图;dìtú;Map
1;74;弟弟｜弟;dì di ｜ dì;younger brother
1;75;第（第二）;dì （dìèr）;auxiliary word for ordinal numbers (second )
1;76;点;diǎn;spot
1;77;电;diàn;electricity
1;78;电话;diàn huà;phone
1;79;电脑;diànnǎo;Computer
1;80;电视;diànshì;television
1;81;电视机;diàn shì jī;television
1;82;电影;diànyǐng;Film
1;83;电影院;diàn yǐng yuàn;"cinema; movie theater"
1;84;东;dōng;east
1;85;东边;dōng biān;east side
1;86;东西;dōngxi;thing
1;87;动;dòng;move
1;88;动作;dòngzuò;action
1;89;都;dōu;all
1;90;读;dú;read
1;91;读书;dú shū;"reading; study"
1;92;对（形）;duì;right
1;93;对不起;duìbuqǐ;I’m sorry.
1;94;多（形、代）;duō;"many; much; more"
1;95;多少;duōshao;how much
1;96;饿;è;hungry
1;97;儿子;érzi;Son
1;98;二;èr;Two
1;99;饭;fàn;"rice; meal"
1;100;饭店;fàndiàn;restaurant
1;101;房间;fángjiān;Room
1;102;房子;fáng zi;"house; building"
1;103;放;fàng;discharge
1;104;放假;fàng jià;"holiday; have a holiday"
1;105;放学;fàng xué;off school
1;106;飞;fēi;fly
1;107;飞机;fēijī;aircraft
1;108;非常;fēicháng;very
1;109;分（名、量）;fēn;"minute; point; part; (measure word)"
1;110;风;fēng;wind
1;111;干;gān;dry
1;112;干净;gānjìng;clean
1;113;干;gàn;do
1;114;干什么;gàn shén me;What to do
1;115;高;gāo;high
1;116;高兴;gāoxìng;happy
1;117;告诉;gàosu;tell
1;118;哥哥｜哥;gē ge ｜ gē;elder brother
1;119;歌;gē;song
1;120;个;gè;individual
1;121;给;gěi;give
1;122;跟;gēn;with
1;123;工人;gōngrén;Worker
1;124;工作;gōngzuò;work
1;125;关（动）;guān;"shut; close; turn off"
1;126;关上;guān shàng;"close;shut to; turn off"
1;127;贵;guì;noble
1;128;国;guó;"country; state; nation"
1;129;国家;guójiā;Country
1;130;国外;guó wài;"foreign; oversea; abroad"
1;131;过;guò;pass
1;132;还;hái;"also; still; yet"
1;133;还是;háishi;still
1;134;还有;hái yǒu;"also; in addition; besides"
1;135;孩子;háizi;Children
1;136;汉语;hànyǔ;Chinese
1;137;汉字;hàn zì;Chinese character
1;138;好（形）;hǎo;good
1;139;好吃;hǎochī;Yummy
1;140;好看;hǎo kàn;good looking
1;141;好听;hǎo tīng;pleasant to hear
1;142;好玩儿;hǎo wánr;"fun; interesting"
1;143;号;hào;Number/date
1;144;喝;hē;drink
1;145;和;hé;and
1;146;很;hěn;very
